What X is able to do?	activity
Is X able to Y?	activity
Can X play?	activity
What color is X?	color
Is Y the color of X?	color
What is the size of X?	size
Is X Y in size?	size
What is X?	generalization
Is X an Y?	generalization
What X is used for?	purpose
Is X used to Y?	purpose
What color is X?	color
What pattern do X have?	color
What color do X have?	color
Can you give me examples of X?	generalization
Do you know any type of X?	generalization
Is there anything belonging to the class of X?	generalization
What is X used for?	howtouse
How can I use X?	howtouse
Where is X used?	howtouse
What is a X?	specialization
What kind of object is X?	specialization
What family do X belong to?	specialization
Do you know what kind of activity can X do?	activity
Which activity do X do?	activity
What can X do?	activity
Is X made of Y?	material
What is X made of?	material
What is X built of?	material
What does X used for?	purpose
Is X used for Y?	purpose
What are the purpose of X?	purpose
How to use X?	howtouse
Is X used by Y?	howtouse
What is the best way to use X?	howtouse
Is Y a part of X?	part
What is a part of X?	part
What does X have?	part
Is X like Y?	similarity
Does X similar to Y?	similarity
What does X similar to?	similarity
What is X?	generalization
Is X a Y?	generalization
What is the category of X?	generalization
Is X increased or decreased?	size
Is the size of X Y?	size
What is the size of X?	size
Is X belonging to Y?	part
What is X belonging to?	part
Y contains X?	part
What is the shape of X?	shape
Is the shape of X Y?	shape
Is Y a features of X?	shape
When X is used?	time
When X can be used?	time
Y can be a period of X?	time
Is X made out of Y ?	material
Is X built of Y ?	material
Is X crafted from Y ?	material
What is X made of ?	material
Where is X located ?	place
Can X be found in Y ?	place
Is X in Y ?	place
Is X a type of Y ?	generalization
What is X ?	generalization
Is X a category of Y ?	generalization
Is X an example of Y ?	generalization
Is X a type of Y ?	specialization
What is X ?	specialization
Is X a category of Y ?	specialization
Is X an example of Y ?	specialization
Is X a part of Y ?	part
Is X contained into Y ?	part
Where is X merged into ?	part
Is X in Y ?	part
Is X a section of Y ?	part
What is X?	generalization
X is the type of Y?	specialization
How is X?	color
Where is X?	place
When is X born?	time
When is X died?	time
When was X?	time
When is X?	time
What is X made of?	material
What is X composed of?	material
Is X made of Y?	material
Where is X located?	place
In which place can X be found?	place
Is X in Y?	place
What size is X?	size
How big is X?	size
Which is X size?	size
To what is X similar?	similarity
What does X reminds of?	similarity
What does X makes you think of?	similarity
When does X take place?	time
Which is the rigth time for X?	time
When did X happen?	time
How do you use a X ?	howtouse
What do you use X for ?	howtouse
What X is used for ?	howtouse
Is X used for Y ?	howtouse
What is the sound of X ?	sound
How does X sound ?	sound
How does X sound like ?	sound
Is Y the sound of X ?	sound
What is the taste of X ?	taste
Is X Y ?	taste
How does X taste ?	taste
How does X taste like ?	taste
What is the shape of X ?	shape
Is Y the shape of X ?	shape
Is X Y ?	shape
